"Without Pattern WL, BL","With Pattern WL, BL","With WL, BL Under Brute Force"
176,336,372.8
165.6,344,385.6
160.8,376,359.2
187.2,348,407.2
176,364.8,400.2
196,328,452
172,376,420
168,318.4,453.6
177,356,475.2
186.4,323.2,468
173.6,336,436
176.8,357.6,433.6
170.4,309.6,473.6
177.6,325.6,413.6
174.4,388,456
