"Without Pattern WL, BL ","With Pattern WL,BL","With WL,BL Under Brute Force"
170,368,372
216,360,321
172,344,358
200,362,407
184,276,426
195,248,414
168,341,428
193,340,415
204,305,445
205,344,427
230,277,457
172,388,466
160,373,409
168,332,449
193,297,421
