"Without Pattern WL, BL ","With Pattern WL, BL","With WL, BL under Brute Force"
160,390.4,327.7
170,332,328
126,326.4,426.4
146,334.4,443.2
145,328,415.2
153,332.8,436
157,4.05,409.6
176,356,400
156,321.6,400.8
198,368,410.4
176,327.2,419.2
165,348,407.2
178,331.2,418.4
143,364.8,434.4
183,356,471.2
