"Without Pattern OOC, PZH","With Pattern OOC, PZH","With OOC, PZH Under MITM","With OOC, PZH Under DDoS"
12.3,13.5,14.8,61.3
11.5,13.3,14,66.2
11,11,15.2,60.1
15.1,10,17.3,70.7
18.8,12.1,19,78.7
17.4,14.1,15.3,36.8
13.1,17.4,7.5,33.1
10.3,12.8,15.2,62.4
12,13.4,18.1,38.9
11.5,19.5,20.5,58.3
14,12.7,19.3,55
15.4,14.8,15.5,53.4
16.2,10.4,19.8,43.7
18.2,12,14.4,63.4
19.4,10.8,21,53.3
