"Without Pattern OOC, PZH","With Pattern OOC, PZH","With OOC, PZH Under SSH-MITM","With OOC, PZH Under DDoS"
10.3,19.1,19,87
12.1,13.4,18,60.7
13.1,10.9,17.5,69.7
11.8,11.2,14,61.7
12.1,14.4,16.9,50.9
15.9,15.5,15.4,78
10.1,13.6,15.5,40
11,14.5,14.4,71.6
10.3,15.4,15.3,59.8
14.6,11.8,19.3,79.3
13.3,12.3,17,75.5
10.8,14.5,17.9,36.6
13.7,12.5,17.2,51.8
13.4,14.3,16.2,74.2
14.1,12.4,15.8,59
