"Without Pattern OOC, PZH","With Pattern OOC, PZH","With OOC, PZH Under MITM","With OOC, PZH Under DDoS"
15.5,12,17,61.3
10.1,11.5,15,63.2
10.1,11,18.6,59.1
14.6,10,16,68.7
9.8,12.1,17.6,65.9
8.7,14.1,17.7,38.8
8.5,17.9,14.3,39.1
9.7,12.8,14.4,63.4
14,13.9,15.3,37.4
15.8,19.5,19.3,54.4
9.4,13.5,18,67.3
8.7,14.8,17.9,53.5
10.6,10.4,18.2,43.6
12.4,12,16.2,73.4
14.6,10.8,15.8,53.5
